trader_name,phone_numbers,stock_symbol,stock_name,exchange,market_cap,trans_date,trans_type,price_usd
Nerte Ireson,887-162-6610*834-611-0104,MDR,"McDermott International, Inc.",NYSE,$1.78B,7/5/2019,BUY,10.98
Nerte Ireson,887-162-6610*834-611-0104,MDR,"McDermott International, Inc.",NYSE,$1.78B,7/8/2019,SELL,10.872
Dick Treble,883-607-7462,RFDI,First Trust RiverFront Dynamic Developed International ETF,NASDAQ,$199.67M,4/8/2019,SELL,69.372
Monro Westbury,714-486-1867*881-796-0566,MESO,Mesoblast Limited,NASDAQ,$654.76M,6/18/2019,SELL,5.856
Monro Westbury,714-486-1867*881-796-0566,MESO,Mesoblast Limited,NASDAQ,$654.76M,6/19/2019,SELL,5.7
Monro Westbury,714-486-1867*881-796-0566,MESO,Mesoblast Limited,NASDAQ,$654.76M,6/20/2019,SELL,5.604
Juli Dufaur,725-718-2757*480-460-4607,JBR,Select Asset Inc.,NYSE,,5/10/2019,SELL,8.448
Juli Dufaur,725-718-2757*480-460-4607,JBR,Select Asset Inc.,NYSE,,5/13/2019,BUY,8.28
Juli Dufaur,725-718-2757*480-460-4607,JBR,Select Asset Inc.,NYSE,,5/14/2019,SELL,8.28
Juli Dufaur,725-718-2757*480-460-4607,JBR,Select Asset Inc.,NYSE,,5/15/2019,BUY,8.304
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/6/2019,BUY,29.52
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/7/2019,BUY,29.028
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/8/2019,SELL,28.896
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/9/2019,SELL,28.608
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/10/2019,SELL,28.572
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/13/2019,BUY,27.816
Reggis Redsell,441-685-1653,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE,$352.51M,5/14/2019,BUY,28.332
Jewelle Fluin,169-829-3306*223-889-8709,PICO,PICO Holdings Inc.,NASDAQ,$386.6M,7/15/2019,BUY,13.164
Corinne Yerson,757-516-9387*657-796-4002,PDI,PIMCO Dynamic Income Fund,NYSE,$1.43B,3/18/2019,SELL,38.736
Corinne Yerson,757-516-9387*657-796-4002,PDI,PIMCO Dynamic Income Fund,NYSE,$1.43B,3/19/2019,BUY,39
Corinne Yerson,757-516-9387*657-796-4002,PDI,PIMCO Dynamic Income Fund,NYSE,$1.43B,3/20/2019,SELL,38.784
Corinne Yerson,757-516-9387*657-796-4002,PDI,PIMCO Dynamic Income Fund,NYSE,$1.43B,3/21/2019,BUY,38.988
