"acct_id","acct_type","cust_id","bal_boy"
"16935823",c,2,4442.42
"17188729",c,3,25453.40
"51392126",c,4,21893.14
"14991176",c,5,12940.69
"62720976",c,6,16736.45
"27505245",c,7,22323.11
"66927957",c,8,27586.02
"17353058",c,9,20537.79
"69189936",c,10,10764.36
"27681177",c,11,26659.84
"92948746",c,12,25347.71
"33283574",c,13,18223.27
"52881601",c,14,7889.15
"62224425",c,15,7193.21
"32836130",c,16,15460.10
"87931096",c,17,13454.41
"80898577",c,18,6593.65
"33251890",c,20,12177.79
"74981092",c,21,11294.05
"74016123",c,22,34407.09
"87131365",c,23,5556.10
"55636777",c,24,24305.78
"87088422",c,25,8459.92
"32828021",c,26,5011.75
"36856712",c,27,36664.47
"97698950",c,28,7154.97
"48410881",c,29,22437.00
"97750411",c,30,31246.99
"60776187",c,31,5906.25
"74431468",c,34,6895.95
"22633447",c,36,18278.65
"10953072",c,37,4677.11
"84426652",c,38,6561.88
"13117117",c,39,17025.96
"82271939",c,40,22049.94
"69323586",c,41,15387.57
"47857248",c,42,35330.02
"21373091",c,43,10260.84
"97951074",c,44,9123.31
"72771341",c,45,22944.22
"61404264",c,46,8973.76
"95212907",c,47,6578.99
"79448498",c,48,21786.16
"30781490",c,49,21250.38
"30644459",c,50,3589.73
"55013807",c,51,29353.17
"92309125",c,52,18684.30
"69607698",c,54,13401.71
"69180151",c,55,8100.74
"19423170",c,56,4128.49
"53894105",c,57,17899.49
"58425539",c,58,35083.76
"16336003",c,59,19996.98
"72053472",c,60,5063.44
"83805362",c,61,9858.27
"14517143",c,62,15740.35
"98644563",c,63,4904.77
"99865524",c,64,11766.89
"56242373",c,66,29177.18
"15059910",c,67,38129.99
"96193356",c,68,5540.63
"58042061",c,69,17586.18
"35758236",c,70,23966.82
"49120492",c,71,33210.86
"82451279",c,72,19403.10
"38857183",c,73,4933.36
"88694942",c,74,29708.63
"43725683",c,75,20387.50
"78047659",c,76,5512.61
"91005621",c,77,8079.50
"93739102",c,78,25290.17
"57284478",c,79,5890.49
"26162110",c,80,8366.90
"10536751",c,81,27461.29
"86197119",c,82,24233.08
"48249229",c,84,7497.69
"58995838",c,85,20639.56
"45818485",c,86,19833.20
"49162212",c,87,8810.62
"40411018",c,88,8780.90
"14113168",c,89,5817.77
"15518289",c,91,33510.51
"88226833",c,92,21492.45
"91729843",c,94,9889.71
"34448278",c,95,7883.11
"25742653",c,96,9197.99
"83702322",c,97,18333.73
"39958102",c,98,5208.59
"72481646",c,99,21883.67
"34553525",c,100,8827.48
"13620357",c,101,4932.97
"60335141",c,102,10369.76
"94049622",c,104,26202.37
"18415810",c,105,6749.67
"58563350",c,106,5347.17
"32849626",c,107,5073.19
"38566137",c,108,32662.34
"47302945",c,109,5429.86
"26776082",c,110,26178.60
"79841022",c,112,5155.89
"10146188",c,114,17799.81
"28722738",c,115,19599.23
"45253068",c,116,25932.33
"15784605",c,118,7449.83
"63242214",c,120,33114.52
"14113982",c,121,37389.49
"81136690",c,122,5620.24
"15915941",c,123,10286.44
"50341240",c,125,7300.26
"37903489",c,126,28411.05
"21257070",c,127,5847.48
"19371249",c,128,18769.49
"23316180",c,129,11250.09
"47226127",c,130,26423.89
"57337190",c,131,25368.80
"45854081",c,132,27359.85
"49815531",c,133,7670.18
"71155828",c,134,8145.73
"89372116",c,135,9915.07
"36509020",c,136,21256.27
"63649820",c,137,10387.64
"50396145",c,138,13849.50
"22931188",c,139,7298.07
"86520548",c,140,13470.49
"44820376",c,141,6138.37
"64684053",c,142,11360.03
"94444459",c,143,17596.33
"33441660",c,144,17792.10
"91893614",c,145,27415.81
"82153918",c,146,17774.27
"77395537",c,147,5367.84
"62700205",c,148,26772.48
"23535564",c,149,4740.57
"98614745",c,150,7970.75
"81266472",c,151,14097.68
"50870095",c,152,7078.90
"63554212",c,153,36053.98
"13021865",c,154,15766.91
"73706000",c,155,35251.38
"60908325",c,156,18610.68
"96673487",c,157,17049.90
"96241081",c,159,27797.41
"14096450",c,160,31100.51
"78145875",c,161,6975.65
"45678056",c,162,12100.42
"94128233",c,163,25972.45
"12984491",c,164,8914.18
"83605243",c,165,28240.98
"58755046",c,166,7044.13
"34597350",c,167,7505.41
"87395009",c,168,6623.18
"17107889",c,169,29021.20
"18329465",c,171,11451.38
"61216698",c,172,13926.65
"45374243",c,173,30342.13
"25791628",c,174,37076.30
"86575613",c,175,36706.68
"78012337",c,176,21318.72
"60702820",c,178,4670.74
"79954151",c,179,31803.76
"62655035",c,180,8560.48
"48748221",c,181,8034.47
"43386966",c,183,24581.30
"27271512",c,184,10385.82
"96090853",c,186,25787.27
"78948230",c,187,21211.83
"34225979",c,188,28482.86
